experiment,go_count,left_count,right_count,angle_45_count,angle_90_count,angle_135_count,total_count,batch_size,epochs_requested,epochs_ran,best_val_loss,final_train_loss,final_val_loss,valid_mse,valid_mae,valid_r2,elapsed_sec,best_model_path,final_model_path
exp01_go1000_left466_right558,1000,466,558,466,1000,558,2024,32,10,10,326.64337158203125,302.49755859375,326.64337158203125,316.4294036747253,13.022475075427398,0.6899402194709577,140.887268,/data/AI_CAR/output/subsampling_experiments/exp01_go1000_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp01_go1000_left466_right558/final_model.keras
exp02_go500_left466_right558,500,466,558,466,500,558,1524,32,10,10,283.2328186035156,324.51708984375,283.2328186035156,299.0828267889061,13.244417459456647,0.7789822384434484,107.844186,/data/AI_CAR/output/subsampling_experiments/exp02_go500_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp02_go500_left466_right558/final_model.keras
exp03_go600_left466_right558,600,466,558,466,600,558,1624,32,10,8,1227.7020263671875,1340.3125,1368.531494140625,1285.376752014808,30.426749103252703,-0.01179956143673766,90.092918,/data/AI_CAR/output/subsampling_experiments/exp03_go600_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp03_go600_left466_right558/final_model.keras
exp04_go700_left466_right558,700,466,558,466,700,558,1724,32,10,10,400.0025329589844,608.089599609375,400.0025329589844,397.2666891520579,14.824051279261493,0.6681477293290152,118.534285,/data/AI_CAR/output/subsampling_experiments/exp04_go700_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp04_go700_left466_right558/final_model.keras
exp05_go800_left466_right558,800,466,558,466,800,558,1824,32,10,10,294.7568054199219,402.4487609863281,294.7568054199219,330.01158863714306,13.628188104498877,0.7084295342902734,125.225605,/data/AI_CAR/output/subsampling_experiments/exp05_go800_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp05_go800_left466_right558/final_model.keras
exp06_go900_left466_right558,900,466,558,466,900,558,1924,32,10,10,278.61260986328125,337.2164306640625,278.61260986328125,293.86762793833105,12.902345444320083,0.7262055805966536,133.617806,/data/AI_CAR/output/subsampling_experiments/exp06_go900_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp06_go900_left466_right558/final_model.keras
exp07_go1200_left466_right558,1200,466,558,466,1200,558,2224,32,10,10,305.034912109375,327.8244934082031,305.034912109375,298.9477809558213,11.955557122391262,0.6782648749031166,151.934533,/data/AI_CAR/output/subsampling_experiments/exp07_go1200_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp07_go1200_left466_right558/final_model.keras
exp08_go1500_left466_right558,1500,466,558,466,1500,558,2524,32,10,7,813.2960815429688,821.3035278320312,821.2950439453125,855.9227818608211,22.591789154959198,-0.04487452769224176,120.205711,/data/AI_CAR/output/subsampling_experiments/exp08_go1500_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp08_go1500_left466_right558/final_model.keras
exp09_go2000_left466_right558,2000,466,558,466,2000,558,3024,32,10,10,143.5726318359375,176.53466796875,202.35821533203125,200.6498003040438,10.226530027783607,0.7067208670715566,205.081914,/data/AI_CAR/output/subsampling_experiments/exp09_go2000_left466_right558/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp09_go2000_left466_right558/final_model.keras
exp10_all_data,3252,466,558,466,3252,558,4276,32,10,10,140.86325073242188,161.090087890625,153.14755249023438,153.95114504320074,7.388875537943617,0.6818937832274061,287.314303,/data/AI_CAR/output/subsampling_experiments/exp10_all_data/best_model.keras,/data/AI_CAR/output/subsampling_experiments/exp10_all_data/final_model.keras
